epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,114.317,1.85065,2.0109,1.63964,0.41316,0.41522,0.37465,0.16012,2.01463,2.15487,1.79051,0.000554415,0.000554415,0.000554415
2,226.611,1.75908,1.65179,1.57243,0.53911,0.56793,0.51154,0.18773,2.13294,1.89284,1.8751,0.0010881,0.0010881,0.0010881
3,331.715,1.73685,1.62271,1.5593,0.60867,0.56141,0.55293,0.22061,2.18531,1.59043,1.92024,0.00159978,0.00159978,0.00159978
4,440.301,1.70409,1.56204,1.54192,0.64773,0.56085,0.59627,0.23157,2.16271,1.61688,1.81385,0.00156798,0.00156798,0.00156798
5,549.859,1.6613,1.45232,1.51479,0.67314,0.61196,0.64608,0.26382,2.01174,1.38167,1.67801,0.00153497,0.00153497,0.00153497
6,658.257,1.62765,1.38359,1.48696,0.68411,0.6288,0.67015,0.2891,1.96886,1.37506,1.69647,0.00150197,0.00150197,0.00150197
7,769.384,1.59788,1.32607,1.47651,0.72677,0.62446,0.63326,0.23089,2.25405,1.41071,1.91908,0.00146896,0.00146896,0.00146896
8,873.791,1.58147,1.28051,1.45178,0.63333,0.71652,0.65911,0.24383,2.18029,1.31157,1.90353,0.00143595,0.00143595,0.00143595
9,983.778,1.56377,1.25346,1.44644,0.7009,0.65054,0.69634,0.25838,2.18182,1.23104,1.82663,0.00140295,0.00140295,0.00140295
10,1092.03,1.54466,1.20144,1.42797,0.71334,0.60278,0.66562,0.28547,1.98593,1.30078,1.70937,0.00136994,0.00136994,0.00136994
11,1201.22,1.52737,1.15245,1.41511,0.70379,0.62307,0.67067,0.26645,2.10657,1.36498,1.82093,0.00133693,0.00133693,0.00133693
12,1308.69,1.50004,1.11644,1.40556,0.65249,0.6663,0.64082,0.27314,2.04905,1.31884,1.74511,0.00130393,0.00130393,0.00130393
13,1414.57,1.48857,1.10885,1.39233,0.7394,0.69064,0.73294,0.30998,1.98693,1.16183,1.68048,0.00127092,0.00127092,0.00127092
14,1524.22,1.47739,1.09476,1.38311,0.75362,0.71753,0.74912,0.2776,2.11898,1.1161,1.83449,0.00123791,0.00123791,0.00123791
15,1627.64,1.47452,1.07623,1.37465,0.76952,0.68696,0.71714,0.27912,2.13054,1.21906,1.80107,0.00120491,0.00120491,0.00120491
16,1735.2,1.45643,1.03807,1.36479,0.71941,0.70982,0.72325,0.32185,1.93541,1.13174,1.68651,0.0011719,0.0011719,0.0011719
17,1844.59,1.4342,1.02534,1.35271,0.75427,0.70297,0.73152,0.27074,2.18829,1.09438,1.85478,0.00113889,0.00113889,0.00113889
18,1949.7,1.43,1.00945,1.34581,0.75727,0.77228,0.77799,0.33045,1.99049,1.04581,1.69566,0.00110589,0.00110589,0.00110589
19,2055.94,1.41632,0.97803,1.33946,0.77943,0.74293,0.7688,0.34606,1.88271,1.10568,1.62362,0.00107288,0.00107288,0.00107288
20,2160.98,1.39935,0.94938,1.31997,0.74574,0.73315,0.74162,0.31713,2.02905,1.11687,1.72681,0.00103987,0.00103987,0.00103987
21,2270.22,1.40647,0.95558,1.32143,0.80064,0.70978,0.78102,0.31342,2.06799,1.04323,1.73018,0.00100687,0.00100687,0.00100687
22,2379.12,1.38594,0.93617,1.31402,0.81626,0.69543,0.77724,0.34943,1.89712,1.06724,1.62964,0.000973861,0.000973861,0.000973861
23,2481.58,1.37142,0.92014,1.30846,0.73016,0.7544,0.75763,0.34843,1.94497,1.02884,1.66746,0.000940855,0.000940855,0.000940855
24,2589.73,1.35159,0.89998,1.29137,0.78151,0.74565,0.76812,0.33214,1.98469,0.956,1.69173,0.000907848,0.000907848,0.000907848
25,2695.76,1.34553,0.87922,1.28688,0.8188,0.72609,0.79472,0.35871,1.89299,0.98244,1.63686,0.000874842,0.000874842,0.000874842
26,2805.89,1.33608,0.86877,1.2836,0.78771,0.72565,0.77429,0.34341,1.89236,1.04624,1.66036,0.000841835,0.000841835,0.000841835
27,2910.49,1.32925,0.86586,1.28168,0.80322,0.74972,0.7866,0.33802,1.93674,0.9742,1.65274,0.000808828,0.000808828,0.000808828
28,3018.31,1.30768,0.84488,1.25946,0.79805,0.72345,0.78479,0.34743,1.94376,1.05498,1.68258,0.000775822,0.000775822,0.000775822
29,3129.15,1.29267,0.82048,1.24677,0.81022,0.75924,0.78095,0.36509,1.83047,1.03335,1.58195,0.000742815,0.000742815,0.000742815
30,3235.58,1.2873,0.81044,1.24594,0.76623,0.75489,0.77673,0.32786,1.99373,1.03044,1.68401,0.000709809,0.000709809,0.000709809
31,3342.82,1.28303,0.81592,1.24648,0.8129,0.70815,0.77285,0.32987,1.97428,1.09514,1.69649,0.000676802,0.000676802,0.000676802
32,3448.66,1.26324,0.79818,1.23396,0.77929,0.74479,0.78752,0.35071,1.90564,1.0529,1.63292,0.000643795,0.000643795,0.000643795
33,3558.23,1.26491,0.78805,1.23501,0.73138,0.76033,0.7782,0.3577,1.91317,1.00691,1.66542,0.000610789,0.000610789,0.000610789
34,3666.05,1.24619,0.78031,1.22599,0.76258,0.75272,0.77731,0.33639,2.00161,1.03313,1.69629,0.000577782,0.000577782,0.000577782
35,3770.96,1.24219,0.76432,1.21583,0.78694,0.7875,0.79068,0.34516,1.92849,0.9549,1.69539,0.000544776,0.000544776,0.000544776
